Year,Month,Anomaly,Unc.
1850,1,-0.736,0.389
1850,2,-0.202,0.526
1850,3,-0.363,0.333
1850,4,-0.589,0.334
1850,5,-0.614,0.217
1850,6,-0.335,0.281
1850,7,-0.157,0.232
1850,8,-0.148,0.306
1850,9,-0.415,0.229
1850,10,-0.583,0.268
1850,11,-0.554,0.376
1850,12,-0.462,0.348
1851,1,-0.144,0.36
1851,2,-0.398,0.391
1851,3,-0.553,0.288
1851,4,-0.618,0.315
1851,5,-0.32,0.324
1851,6,-0.242,0.242
1851,7,-0.202,0.193
1851,8,-0.295,0.228
1851,9,-0.38,0.254
1851,10,-0.138,0.344
1851,11,-0.358,0.304
1851,12,-0.121,0.323
1852,1,-0.226,0.497
1852,2,-0.5,0.422
1852,3,-0.751,0.349
1852,4,-0.515,0.326
1852,5,-0.141,0.317
1852,6,-0.103,0.237
1852,7,-0.025,0.194
1852,8,-0.338,0.256
1852,9,-0.296,0.224
1852,10,-0.157,0.263
1852,11,-0.52,0.322
1852,12,0.108,0.338
1853,1,-0.324,0.491
1853,2,-0.347,0.306
1853,3,-0.39,0.292
1853,4,-0.266,0.304
1853,5,-0.259,0.298
1853,6,-0.164,0.292
1853,7,0.047,0.234
1853,8,-0.046,0.224
1853,9,-0.394,0.221
1853,10,-0.465,0.296
1853,11,-0.633,0.329
1853,12,-0.3,0.299
1854,1,-0.531,0.354
1854,2,-0.578,0.326
1854,3,-0.27,0.281
1854,4,-0.396,0.292
1854,5,-0.279,0.219
1854,6,-0.46,0.257
1854,7,-0.171,0.197
1854,8,-0.189,0.221
1854,9,-0.253,0.238
1854,10,0.119,0.373
1854,11,-0.221,0.422
1854,12,-0.188,0.567
1855,1,-0.016,0.633
1855,2,-0.108,0.414
1855,3,-0.263,0.343
1855,4,-0.077,0.238
1855,5,-0.224,0.247
1855,6,-0.332,0.185
1855,7,-0.367,0.203
1855,8,-0.243,0.195
1855,9,-0.478,0.202
1855,10,-0.305,0.282
1855,11,-0.374,0.258
1855,12,-0.529,0.341
1856,1,0.038,0.334
1856,2,-0.389,0.358
1856,3,-0.409,0.254
1856,4,-0.408,0.211
1856,5,-0.339,0.265
1856,6,-0.124,0.256
1856,7,-0.242,0.204
1856,8,-0.521,0.213
1856,9,-0.719,0.255
1856,10,-0.673,0.243
1856,11,-0.553,0.274
1856,12,-0.409,0.32
1857,1,-0.504,0.36
1857,2,-0.534,0.283
1857,3,-0.625,0.295
1857,4,-0.82,0.212
1857,5,-0.76,0.221
1857,6,-0.558,0.244
1857,7,-0.504,0.176
1857,8,-0.458,0.21
1857,9,-0.489,0.213
1857,10,-0.529,0.216
1857,11,-0.483,0.302
1857,12,-0.208,0.311
1858,1,-0.199,0.436
1858,2,-0.485,0.295
1858,3,-0.306,0.238
1858,4,-0.278,0.254
1858,5,-0.407,0.239
1858,6,-0.259,0.193
1858,7,-0.313,0.195
1858,8,-0.321,0.203
1858,9,-0.485,0.188
1858,10,-0.274,0.2
1858,11,-0.164,0.287
1858,12,-0.469,0.251
1859,1,-0.336,0.319
1859,2,-0.284,0.3
1859,3,-0.228,0.232
1859,4,0.012,0.189
1859,5,0.015,0.206
1859,6,-0.108,0.202
1859,7,-0.306,0.245
1859,8,-0.353,0.201
1859,9,-0.527,0.2
1859,10,-0.237,0.214
1859,11,-0.164,0.242
1859,12,-0.07,0.384
1860,1,-0.315,0.332
1860,2,-0.303,0.264
1860,3,-0.678,0.341
1860,4,-0.268,0.215
1860,5,-0.209,0.214
1860,6,-0.193,0.178
1860,7,-0.255,0.247
1860,8,-0.207,0.222
1860,9,-0.294,0.244
1860,10,-0.343,0.278
1860,11,-0.514,0.224
1860,12,-0.841,0.331
1861,1,-0.982,0.415
1861,2,-0.646,0.346
1861,3,-0.569,0.317
1861,4,-0.417,0.344
1861,5,-0.435,0.263
1861,6,-0.36,0.21
1861,7,-0.313,0.23
1861,8,-0.194,0.212
1861,9,-0.407,0.227
1861,10,-0.46,0.252
1861,11,-0.197,0.229
1861,12,-0.335,0.292
1862,1,-0.903,0.457
1862,2,-0.76,0.307
1862,3,-0.537,0.3
1862,4,-0.551,0.337
1862,5,-0.29,0.192
1862,6,-0.315,0.219
1862,7,-0.34,0.224
1862,8,-0.503,0.226
1862,9,-0.555,0.191
1862,10,-0.463,0.237
1862,11,-0.543,0.355
1862,12,-0.861,0.411
1863,1,-0.117,0.42
1863,2,-0.114,0.39
1863,3,-0.337,0.304
1863,4,-0.257,0.219
1863,5,-0.223,0.2
1863,6,-0.342,0.256
1863,7,-0.368,0.244
1863,8,-0.39,0.236
1863,9,-0.515,0.251
1863,10,-0.489,0.264
1863,11,-0.361,0.297
1863,12,-0.398,0.418
